corridor,name,subtitle,dest_lat,dest_lon,n_source_isos,n_source_countries,min_total_cost,median_total_cost,p25_total_cost,p75_total_cost,min_gen_cost,median_gen_cost,min_transport_cost,median_transport_cost,best_source_country,dominant_mode,within_cap_points,colour,scenario,year
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,3.231933881319523,4.7187983458539415,4.357655691804917,4.9528598606917,2.1330486854825055,3.1659137162028084,0.5999694628032692,1.4834091104883478,MAR,H2 Gas,410,#E63946,Current trajectory,2027
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,3.4077654167030587,5.55645340038684,5.081533260417596,6.046467567817015,2.145042452277757,3.7465859463574875,0.21629999999999996,1.7721798717040678,MAR,NH3,1283,#F4A261,Current trajectory,2027
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,117,3.682191559788349,5.914078022913605,5.365595626852549,7.115972436164368,1.744771241830733,3.7129083171200565,1.572397422261285,2.1912342327628784,JPN,NH3,4858,#2196F3,Current trajectory,2027
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,3.196051597774465,5.238257831476396,4.619024663932619,5.647129987661238,1.98838472040181,3.3940798652314967,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Current trajectory,2027
E,Corridor E,"SE Europe, Ukraine & Middle East Gateway",48.21,16.37,16,16,2.9646585894708224,5.2022097915220975,4.940338736324517,6.842209069183995,1.778829802102165,3.3985145217731296,0.6493595721292902,2.1501895079646927,TUR,NH3,608,#9C27B0,Current trajectory,2027
EU,EU Domestic,EU Domestic Production,,,27,23,2.0930266453471753,3.892487084230883,3.5698305037651656,4.37379900332103,2.0930266453471753,3.892487084230883,0.0,0.0,IRL,Domestic,304,#009688,Current trajectory,2027
A,Corridor A,North Africa & Middle East via Italy,41.9,12.5,19,19,2.924188460874232,4.146449447191099,3.828629533361534,4.377500986724093,1.8550210694567006,2.623037071382892,0.5999694628032692,1.4540073028251488,MAR,H2 Gas,383,#E63946,Current trajectory,2030
B,Corridor B,"Iberian Gateway (SW Europe, Africa & Americas)",37.26,-6.94,27,27,2.8776013757317234,4.912406560620863,4.5151868431847975,5.303800092456947,1.8626394206256047,3.107594429099825,0.21629999999999996,1.770438611575666,MAR,NH3,1244,#F4A261,Current trajectory,2030
C,Corridor C,North Sea Hub (Global Seaborne),51.92,4.48,132,115,3.4409925612543626,5.305592902336873,4.827515124380739,6.347852260979861,1.5197103818044118,3.0902697964394723,1.572397422261285,2.1862876863522436,JPN,NH3,4706,#2196F3,Current trajectory,2030
D,Corridor D,"Nordic, Baltic & Atlantic (Offshore Wind)",53.55,9.99,5,3,2.9106000174868107,4.8622583147895755,4.281447078605475,5.076674931971263,1.7351724894134457,2.9644368406680224,0.8174036413688548,1.8237719518456128,GBR,NH3,219,#4CAF50,Current trajectory,2030
